player,role,form_score_100,is_captain,is_vice_captain,selection_order,match_id,team,opponent,venue,date,rationale
RV Uthappa,BAT,55.6,True,False,1,981001,Gujarat Lions,Kolkata Knight Riders,Green Park,2016-05-19,Selected as BAT with form score 55.6.
AJ Finch,BAT,55.5,False,True,2,981001,Gujarat Lions,Kolkata Knight Riders,Green Park,2016-05-19,Selected as BAT with form score 55.5.
SK Raina,BAT,54.2,False,False,3,981001,Gujarat Lions,Kolkata Knight Riders,Green Park,2016-05-19,Selected as BAT with form score 54.2.
BB McCullum,BAT,53.3,False,False,4,981001,Gujarat Lions,Kolkata Knight Riders,Green Park,2016-05-19,Selected as BAT with form score 53.3.
DR Smith,BOWL,46.7,False,False,5,981001,Gujarat Lions,Kolkata Knight Riders,Green Park,2016-05-19,Selected as BOWL with form score 46.7.
SB Jakati,BOWL,39.5,False,False,6,981001,Gujarat Lions,Kolkata Knight Riders,Green Park,2016-05-19,Selected as BOWL with form score 39.5.
SP Narine,BOWL,38.5,False,False,7,981001,Gujarat Lions,Kolkata Knight Riders,Green Park,2016-05-19,Selected as BOWL with form score 38.5.
DJ Bravo,BOWL,36.8,False,False,8,981001,Gujarat Lions,Kolkata Knight Riders,Green Park,2016-05-19,Selected as BOWL with form score 36.8.
YK Pathan,BAT,52.9,False,False,9,981001,Gujarat Lions,Kolkata Knight Riders,Green Park,2016-05-19,Selected as BAT with form score 52.9.
G Gambhir,BAT,52.8,False,False,10,981001,Gujarat Lions,Kolkata Knight Riders,Green Park,2016-05-19,Selected as BAT with form score 52.8.
KD Karthik,BAT,52.8,False,False,11,981001,Gujarat Lions,Kolkata Knight Riders,Green Park,2016-05-19,Selected as BAT with form score 52.8.
DA Warner,BAT,59.4,True,False,1,981003,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-20,Selected as BAT with form score 59.4.
KK Nair,BAT,56.3,False,True,2,981003,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-20,Selected as BAT with form score 56.3.
S Dhawan,BAT,55.1,False,False,3,981003,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-20,Selected as BAT with form score 55.1.
Q de Kock,BAT,54.8,False,False,4,981003,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-20,Selected as BAT with form score 54.8.
CR Brathwaite,BOWL,45.0,False,False,5,981003,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-20,Selected as BOWL with form score 45.0.
J Yadav,BOWL,39.6,False,False,6,981003,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-20,Selected as BOWL with form score 39.6.
KV Sharma,BOWL,39.4,False,False,7,981003,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-20,Selected as BOWL with form score 39.4.
NM Coulter-Nile,BOWL,38.3,False,False,8,981003,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-20,Selected as BOWL with form score 38.3.
RR Pant,BAT,54.0,False,False,9,981003,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-20,Selected as BAT with form score 54.0.
SV Samson,BAT,53.1,False,False,10,981003,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-20,Selected as BAT with form score 53.1.
EJG Morgan,BAT,51.9,False,False,11,981003,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-20,Selected as BAT with form score 51.9.
M Vijay,BAT,58.1,True,False,1,981005,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-21,Selected as BAT with form score 58.1.
MS Dhoni,BAT,55.0,False,True,2,981005,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-21,Selected as BAT with form score 55.0.
UT Khawaja,BAT,54.9,False,False,3,981005,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-21,Selected as BAT with form score 54.9.
AM Rahane,BAT,54.2,False,False,4,981005,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-21,Selected as BAT with form score 54.2.
R Dhawan,BOWL,44.7,False,False,5,981005,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-21,Selected as BOWL with form score 44.7.
IK Pathan,BOWL,39.8,False,False,6,981005,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-21,Selected as BOWL with form score 39.8.
R Ashwin,BOWL,39.3,False,False,7,981005,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-21,Selected as BOWL with form score 39.3.
DL Chahar,BOWL,38.3,False,False,8,981005,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-21,Selected as BOWL with form score 38.3.
HM Amla,BAT,53.7,False,False,9,981005,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-21,Selected as BAT with form score 53.7.
WP Saha,BAT,53.2,False,False,10,981005,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-21,Selected as BAT with form score 53.2.
SS Tiwary,BAT,52.4,False,False,11,981005,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-21,Selected as BAT with form score 52.4.
