player,role,form_score_100,is_captain,is_vice_captain,selection_order,match_id,team,opponent,venue,date,rationale
TT Beaumont,BAT,55.2,True,False,1,946547,England,Pakistan,"County Ground, New Road",2016-06-22,Selected as BAT with form score 55.2.
L Winfield,BAT,52.9,False,True,2,946547,England,Pakistan,"County Ground, New Road",2016-06-22,Selected as BAT with form score 52.9.
Sidra Ameen,BAT,52.4,False,False,3,946547,England,Pakistan,"County Ground, New Road",2016-06-22,Selected as BAT with form score 52.4.
Javeria Khan,BAT,50.9,False,False,4,946547,England,Pakistan,"County Ground, New Road",2016-06-22,Selected as BAT with form score 50.9.
HC Knight,AR,51.0,False,False,5,946547,England,Pakistan,"County Ground, New Road",2016-06-22,Selected as AR with form score 51.0.
NR Sciver,AR,49.2,False,False,6,946547,England,Pakistan,"County Ground, New Road",2016-06-22,Selected as AR with form score 49.2.
KH Brunt,BOWL,44.7,False,False,7,946547,England,Pakistan,"County Ground, New Road",2016-06-22,Selected as BOWL with form score 44.7.
A Shrubsole,BOWL,44.3,False,False,8,946547,England,Pakistan,"County Ground, New Road",2016-06-22,Selected as BOWL with form score 44.3.
KL Cross,BOWL,42.2,False,False,9,946547,England,Pakistan,"County Ground, New Road",2016-06-22,Selected as BOWL with form score 42.2.
Sadia Yousuf,BOWL,42.1,False,False,10,946547,England,Pakistan,"County Ground, New Road",2016-06-22,Selected as BOWL with form score 42.1.
Nahida Khan,BAT,50.6,False,False,11,946547,England,Pakistan,"County Ground, New Road",2016-06-22,Selected as BAT with form score 50.6.
TT Beaumont,BAT,57.8,True,False,1,946549,England,Pakistan,County Ground,2016-06-27,Selected as BAT with form score 57.8.
L Winfield,BAT,52.3,False,True,2,946549,England,Pakistan,County Ground,2016-06-27,Selected as BAT with form score 52.3.
Sidra Ameen,BAT,51.5,False,False,3,946549,England,Pakistan,County Ground,2016-06-27,Selected as BAT with form score 51.5.
Sidra Nawaz,BAT,50.7,False,False,4,946549,England,Pakistan,County Ground,2016-06-27,Selected as BAT with form score 50.7.
NR Sciver,AR,48.5,False,False,5,946549,England,Pakistan,County Ground,2016-06-27,Selected as AR with form score 48.5.
Bismah Maroof,AR,46.1,False,False,6,946549,England,Pakistan,County Ground,2016-06-27,Selected as AR with form score 46.1.
HC Knight,BOWL,50.4,False,False,7,946549,England,Pakistan,County Ground,2016-06-27,Selected as BOWL with form score 50.4.
A Shrubsole,BOWL,42.3,False,False,8,946549,England,Pakistan,County Ground,2016-06-27,Selected as BOWL with form score 42.3.
KH Brunt,BOWL,42.3,False,False,9,946549,England,Pakistan,County Ground,2016-06-27,Selected as BOWL with form score 42.3.
Anam Amin,BOWL,41.9,False,False,10,946549,England,Pakistan,County Ground,2016-06-27,Selected as BOWL with form score 41.9.
GA Elwiss,BAT,50.0,False,False,11,946549,England,Pakistan,County Ground,2016-06-27,Selected as BAT with form score 50.0.
T Chetty,BAT,54.8,True,False,1,962017,Ireland,South Africa,The Hills Cricket Club Ground,2016-08-11,Selected as BAT with form score 54.8.
A Steyn,BAT,53.7,False,True,2,962017,Ireland,South Africa,The Hills Cricket Club Ground,2016-08-11,Selected as BAT with form score 53.7.
CMA Shillington,BAT,53.0,False,False,3,962017,Ireland,South Africa,The Hills Cricket Club Ground,2016-08-11,Selected as BAT with form score 53.0.
L Wolvaardt,BAT,52.2,False,False,4,962017,Ireland,South Africa,The Hills Cricket Club Ground,2016-08-11,Selected as BAT with form score 52.2.
GH Lewis,AR,48.9,False,False,5,962017,Ireland,South Africa,The Hills Cricket Club Ground,2016-08-11,Selected as AR with form score 48.9.
IMHC Joyce,AR,48.9,False,False,6,962017,Ireland,South Africa,The Hills Cricket Club Ground,2016-08-11,Selected as AR with form score 48.9.
KJ Garth,BOWL,47.3,False,False,7,962017,Ireland,South Africa,The Hills Cricket Club Ground,2016-08-11,Selected as BOWL with form score 47.3.
CJ Metcalfe,BOWL,46.5,False,False,8,962017,Ireland,South Africa,The Hills Cricket Club Ground,2016-08-11,Selected as BOWL with form score 46.5.
LN McCarthy,BOWL,44.2,False,False,9,962017,Ireland,South Africa,The Hills Cricket Club Ground,2016-08-11,Selected as BOWL with form score 44.2.
Y Fourie,BOWL,43.4,False,False,10,962017,Ireland,South Africa,The Hills Cricket Club Ground,2016-08-11,Selected as BOWL with form score 43.4.
