player,role,form_score_100,is_captain,is_vice_captain,selection_order,match_id,team,opponent,venue,date,rationale
LD Chandimal,BAT,55.5,True,False,1,966753,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-02-28,Selected as BAT with form score 55.5.
Sabbir Rahman,BAT,54.1,False,True,2,966753,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-02-28,Selected as BAT with form score 54.1.
CK Kapugedera,BAT,54.0,False,False,3,966753,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-02-28,Selected as BAT with form score 54.0.
Mushfiqur Rahim,BAT,52.6,False,False,4,966753,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-02-28,Selected as BAT with form score 52.6.
GSNFG Jayasuriya,AR,49.6,False,False,5,966753,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-02-28,Selected as AR with form score 49.6.
AD Mathews,AR,49.2,False,False,6,966753,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-02-28,Selected as AR with form score 49.2.
KMDN Kulasekara,BOWL,45.2,False,False,7,966753,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-02-28,Selected as BOWL with form score 45.2.
HMRKB Herath,BOWL,44.9,False,False,8,966753,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-02-28,Selected as BOWL with form score 44.9.
PVD Chameera,BOWL,44.4,False,False,9,966753,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-02-28,Selected as BOWL with form score 44.4.
Mashrafe Mortaza,BOWL,43.8,False,False,10,966753,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-02-28,Selected as BOWL with form score 43.8.
Soumya Sarkar,BAT,51.7,False,False,11,966753,Bangladesh,Bangladesh,Shere Bangla National Stadium,2016-02-28,Selected as BAT with form score 51.7.
Umar Akmal,BAT,55.8,True,False,1,966755,Pakistan,United Arab Emirates,Shere Bangla National Stadium,2016-02-29,Selected as BAT with form score 55.8.
Muhammad Usman,BAT,55.0,False,True,2,966755,Pakistan,United Arab Emirates,Shere Bangla National Stadium,2016-02-29,Selected as BAT with form score 55.0.
Shaiman Anwar,BAT,54.5,False,False,3,966755,Pakistan,United Arab Emirates,Shere Bangla National Stadium,2016-02-29,Selected as BAT with form score 54.5.
Sharjeel Khan,BAT,53.1,False,False,4,966755,Pakistan,United Arab Emirates,Shere Bangla National Stadium,2016-02-29,Selected as BAT with form score 53.1.
Amjad Javed,AR,47.2,False,False,5,966755,Pakistan,United Arab Emirates,Shere Bangla National Stadium,2016-02-29,Selected as AR with form score 47.2.
Shahid Afridi,BOWL,48.5,False,False,6,966755,Pakistan,United Arab Emirates,Shere Bangla National Stadium,2016-02-29,Selected as BOWL with form score 48.5.
Mohammad Naveed,BOWL,44.8,False,False,7,966755,Pakistan,United Arab Emirates,Shere Bangla National Stadium,2016-02-29,Selected as BOWL with form score 44.8.
Mohammad Sami,BOWL,44.7,False,False,8,966755,Pakistan,United Arab Emirates,Shere Bangla National Stadium,2016-02-29,Selected as BOWL with form score 44.7.
Mohammad Shahzad,BOWL,44.6,False,False,9,966755,Pakistan,United Arab Emirates,Shere Bangla National Stadium,2016-02-29,Selected as BOWL with form score 44.6.
Shoaib Malik,BAT,53.0,False,False,10,966755,Pakistan,United Arab Emirates,Shere Bangla National Stadium,2016-02-29,Selected as BAT with form score 53.0.
Mohammad Hafeez,BAT,50.8,False,False,11,966755,Pakistan,United Arab Emirates,Shere Bangla National Stadium,2016-02-29,Selected as BAT with form score 50.8.
V Kohli,BAT,60.4,True,False,1,966757,India,India,Shere Bangla National Stadium,2016-03-01,Selected as BAT with form score 60.4.
RG Sharma,BAT,54.5,False,True,2,966757,India,India,Shere Bangla National Stadium,2016-03-01,Selected as BAT with form score 54.5.
LD Chandimal,BAT,54.4,False,False,3,966757,India,India,Shere Bangla National Stadium,2016-03-01,Selected as BAT with form score 54.4.
CK Kapugedera,BAT,54.1,False,False,4,966757,India,India,Shere Bangla National Stadium,2016-03-01,Selected as BAT with form score 54.1.
AD Mathews,AR,48.4,False,False,5,966757,India,India,Shere Bangla National Stadium,2016-03-01,Selected as AR with form score 48.4.
NLTC Perera,BOWL,46.6,False,False,6,966757,India,India,Shere Bangla National Stadium,2016-03-01,Selected as BOWL with form score 46.6.
HH Pandya,BOWL,46.2,False,False,7,966757,India,India,Shere Bangla National Stadium,2016-03-01,Selected as BOWL with form score 46.2.
KMDN Kulasekara,BOWL,45.5,False,False,8,966757,India,India,Shere Bangla National Stadium,2016-03-01,Selected as BOWL with form score 45.5.
R Ashwin,BOWL,45.0,False,False,9,966757,India,India,Shere Bangla National Stadium,2016-03-01,Selected as BOWL with form score 45.0.
MS Dhoni,BAT,53.2,False,False,10,966757,India,India,Shere Bangla National Stadium,2016-03-01,Selected as BAT with form score 53.2.
S Dhawan,BAT,53.1,False,False,11,966757,India,India,Shere Bangla National Stadium,2016-03-01,Selected as BAT with form score 53.1.
Sarfraz Ahmed,BAT,55.0,True,False,1,966759,Bangladesh,Pakistan,Shere Bangla National Stadium,2016-03-02,Selected as BAT with form score 55.0.
Sabbir Rahman,BAT,53.1,False,True,2,966759,Bangladesh,Pakistan,Shere Bangla National Stadium,2016-03-02,Selected as BAT with form score 53.1.
Sharjeel Khan,BAT,53.1,False,False,3,966759,Bangladesh,Pakistan,Shere Bangla National Stadium,2016-03-02,Selected as BAT with form score 53.1.
Tamim Iqbal,BAT,53.1,False,False,4,966759,Bangladesh,Pakistan,Shere Bangla National Stadium,2016-03-02,Selected as BAT with form score 53.1.
Shakib Al Hasan,AR,47.3,False,False,5,966759,Bangladesh,Pakistan,Shere Bangla National Stadium,2016-03-02,Selected as AR with form score 47.3.
Shahid Afridi,BOWL,46.9,False,False,6,966759,Bangladesh,Pakistan,Shere Bangla National Stadium,2016-03-02,Selected as BOWL with form score 46.9.
Anwar Ali,BOWL,46.4,False,False,7,966759,Bangladesh,Pakistan,Shere Bangla National Stadium,2016-03-02,Selected as BOWL with form score 46.4.
Arafat Sunny,BOWL,45.8,False,False,8,966759,Bangladesh,Pakistan,Shere Bangla National Stadium,2016-03-02,Selected as BOWL with form score 45.8.
Mashrafe Mortaza,BOWL,44.1,False,False,9,966759,Bangladesh,Pakistan,Shere Bangla National Stadium,2016-03-02,Selected as BOWL with form score 44.1.
Mahmudullah,BAT,53.0,False,False,10,966759,Bangladesh,Pakistan,Shere Bangla National Stadium,2016-03-02,Selected as BAT with form score 53.0.
Umar Akmal,BAT,52.6,False,False,11,966759,Bangladesh,Pakistan,Shere Bangla National Stadium,2016-03-02,Selected as BAT with form score 52.6.
RG Sharma,BAT,55.4,True,False,1,966761,India,United Arab Emirates,Shere Bangla National Stadium,2016-03-03,Selected as BAT with form score 55.4.
Shaiman Anwar,BAT,54.4,False,True,2,966761,India,United Arab Emirates,Shere Bangla National Stadium,2016-03-03,Selected as BAT with form score 54.4.
Muhammad Usman,BAT,53.4,False,False,3,966761,India,United Arab Emirates,Shere Bangla National Stadium,2016-03-03,Selected as BAT with form score 53.4.
S Dhawan,BAT,52.6,False,False,4,966761,India,United Arab Emirates,Shere Bangla National Stadium,2016-03-03,Selected as BAT with form score 52.6.
Harbhajan Singh,BOWL,47.5,False,False,5,966761,India,United Arab Emirates,Shere Bangla National Stadium,2016-03-03,Selected as BOWL with form score 47.5.
B Kumar,BOWL,45.6,False,False,6,966761,India,United Arab Emirates,Shere Bangla National Stadium,2016-03-03,Selected as BOWL with form score 45.6.
P Negi,BOWL,44.6,False,False,7,966761,India,United Arab Emirates,Shere Bangla National Stadium,2016-03-03,Selected as BOWL with form score 44.6.
Mohammad Naveed,BOWL,44.5,False,False,8,966761,India,United Arab Emirates,Shere Bangla National Stadium,2016-03-03,Selected as BOWL with form score 44.5.
SP Patil,BAT,50.6,False,False,9,966761,India,United Arab Emirates,Shere Bangla National Stadium,2016-03-03,Selected as BAT with form score 50.6.
